job_id,title,industry,employment_type,location,required_experience,required_education,has_company_profile,has_salary,has_logo,has_requirements,has_benefits,telecommuting,urgency_count,money_flag_count,vague_count,credential_count,desc_len,profile_len,predicted_prob,risk_tier,fraudulent
13,"Applications Developer, Digital",Management Consulting,Full-time,"US, CT, Stamford",Associate,Bachelor's Degree,1,0,1,1,0,0,0,0,0,0,1721,684,2.6,Low,0
14,Installers,Events Services,Full-time,"US, FL, Orlando",Not Applicable,Unspecified,1,0,1,1,0,0,1,0,0,0,793,351,0.9,Low,0
15,Account Executive - Sydney,Internet,Full-time,"AU, NSW, Sydney",Associate,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,986,433,0.0,Low,0
16,VP of Sales - Vault Dragon,Facilities Services,Full-time,"SG, 01, Singapore",Executive,Bachelor's Degree,1,1,1,1,1,0,0,0,0,0,2995,882,1.4,Low,0
17,Hands-On QA Leader,Internet,Full-time,"IL, , Tel Aviv, Israel",Mid-Senior level,,1,0,1,1,0,0,0,0,0,0,314,417,0.3,Low,0
18,Southend-on-Sea Traineeships Under NAS 16-18 Year Olds Only,,,"GB, SOS, Southend-on-Sea",,,1,0,1,1,1,0,0,0,0,0,390,827,0.2,Low,0
19,Visual Designer,,,"US, NY, New York",,,1,0,1,0,0,0,0,0,0,0,1561,384,0.1,Low,0
20,Process Controls Engineer - DCS PLC MS Office - PA,,Full-time,"US, PA, USA Northeast",,,1,0,0,1,0,0,2,0,0,0,1390,228,1.0,Low,0
21,Marketing Assistant,,,"US, TX, Austin",,,1,0,1,1,0,0,1,0,0,0,1273,1349,0.0,Low,0
22,Front End Developer,Consumer Electronics,Full-time,"NZ, N, Auckland",Mid-Senior level,Master's Degree,1,0,1,1,1,0,0,0,0,0,1932,1309,0.3,Low,0
23,Engagement Manager,Telecommunications,Full-time,"AE, ,",Mid-Senior level,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,1288,2676,0.1,Low,0
24,"Vice President, Sales and Sponsorship (Businessfriend.com)",Internet,Full-time,"US, CA, Carlsbad",Executive,Unspecified,1,1,1,1,1,0,1,0,0,0,1718,869,1.1,Low,0
25,Customer Service,,,"GB, LND, London",,,0,0,0,0,0,0,0,0,0,0,391,0,72.8,High,0
26,H1B SPONSOR FOR L1/L2/OPT,,,"US, NY, New York",,,1,0,1,1,0,0,1,0,0,0,4727,2289,0.9,Low,0
27,Marketing Exec,Online Media,Full-time,"SG, ,",Associate,,1,0,1,1,1,0,1,0,0,0,524,549,0.1,Low,0
28,HAAD/DHA Licensed Doctors Opening in UAE,Hospital & Health Care,Full-time,"AE, AZ, Abudhabi",Associate,Master's Degree,1,0,1,1,1,0,0,0,0,0,663,790,2.5,Low,0
29,Talent Management Process Manager,Management Consulting,Full-time,"US, MO, St. Louis",,,1,0,0,0,0,0,0,0,0,0,1697,228,0.5,Low,0
30,Customer Service Associate,Consumer Services,Full-time,"CA, ON, Toronto",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1218,684,0.2,Low,0
31,Customer Service Technical Specialist,Computer Software,Full-time,"US, MA, Waltham",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1968,684,0.1,Low,0
32,Software Applications Specialist,Computer Software,Full-time,"US, KS,",Associate,Unspecified,0,1,1,1,1,0,1,0,0,0,386,0,0.5,Low,0
33,Craftsman Associate,Construction,Full-time,"US, WA, Everett",Entry level,Unspecified,1,0,1,1,1,0,2,0,0,0,1189,367,1.8,Low,0
34,Completion Engineer,Oil & Energy,Full-time,"US, CA, San Ramon",,Bachelor's Degree,1,0,1,1,0,0,1,0,0,0,1671,878,1.2,Low,0
35,I Want To Work At Karmarama,Marketing and Advertising,Full-time,"GB, LND,",,,1,0,1,1,0,0,0,0,0,0,149,522,0.7,Low,0
36,English Teacher Abroad,Education Management,Contract,"US, NY, Saint Bonaventure",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
37,Graduates: English Teacher Abroad,Education Management,Contract,"US, NY, Yonkers",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,332,53,0.3,Low,0
38,PROJECT MANAGER,Oil & Energy,Full-time,"US, TX, HOUSTON",Mid-Senior level,Bachelor's Degree,0,0,0,0,0,0,0,0,0,0,2235,0,65.1,High,0
39,Art Director,Computer Software,Full-time,"IN, AP, Hyderabad",Mid-Senior level,,1,0,1,1,1,0,1,0,0,0,1543,228,0.7,Low,0
40,Receptionist/Customer Service Technical Specialist,Financial Services,Full-time,"US, IL, Chicago",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1820,684,0.1,Low,0
41,English Teacher Abroad,Education Management,Contract,"US, PA, Kutztown",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
42,English Teacher Abroad,Education Management,Contract,"US, CA, Sacramento",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,384,53,0.3,Low,0
43,Jr. Developer,Computer Software,Full-time,US,Entry level,Bachelor's Degree,0,1,0,0,0,0,0,0,0,0,390,0,10.0,Low,0
44,Customer Service Associate Receptionist,Consumer Services,Full-time,"US, MD, Columbia",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,695,684,0.3,Low,0
45,Customer Service Team Lead,Computer Software,Full-time,"US, OK, Tulsa",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,2631,684,3.0,Low,0
46,Inside Sales Professional-Omaha,Building Materials,Full-time,"US, NE, Omaha",,,1,0,1,1,1,0,0,0,0,0,1293,702,2.0,Low,0
47,Entry Level,Banking,Full-time,"EG, C,",Entry level,Bachelor's Degree,1,0,0,1,0,0,0,0,0,0,168,5573,0.1,Low,0
48,Customer Service Associate,Financial Services,Full-time,"US, TN, Brentwood",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1380,684,0.2,Low,0
49,English Teacher Abroad,Education Management,Contract,"US, OH, Kent",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
50,Customer Service Team Lead,Facilities Services,Full-time,"US, NH, Dover",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1274,684,0.2,Low,0
51,"Food Production Manager @ PGI, a Food Production Company",Food & Beverages,Full-time,"US, NV, Carson City",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,762,184,1.1,Low,0
52,Administrative/Front Desk,Education Management,Full-time,"US, OK, Tulsa",Entry level,High School or equivalent,1,0,1,1,0,0,2,0,0,0,1020,684,0.3,Low,0
53,Payroll Tax Specialist,Information Technology and Services,Full-time,"US, NY, New York",,,1,0,1,1,0,0,0,0,0,0,341,536,0.4,Low,0
54,Technical Project Manager,Financial Services,Full-time,"US, NY, New York City",Associate,Bachelor's Degree,0,0,0,1,1,0,1,0,0,0,1206,0,2.1,Low,0
55,Outside Sales Professional-St. Cloud,,,"US, MN, St. Cloud",,,1,0,1,1,1,0,0,0,0,0,647,702,1.2,Low,0
56,Junior HR Marketing Manager,,,"PL, ,",,,1,0,1,1,1,0,1,0,0,0,334,153,2.1,Low,0
57,Outside Sales Professional-Oronoco,,,"US, MN, Oronoco",,,1,0,1,1,1,0,0,0,0,0,647,702,1.2,Low,0
58,Intensive Case Management Worker (Bilingual Essential),Hospital & Health Care,,"CA, ON, Ottawa",,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,921,2480,0.9,Low,0
59,Marketing Guru,Computer Software,Full-time,"US, TX, Fort Worth",Associate,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,905,420,0.1,Low,0
60,Product Visual Designer,Information Technology and Services,Full-time,"US, CA, San Francisco",Not Applicable,Unspecified,1,0,1,1,1,0,0,0,0,0,574,660,0.6,Low,0
61,Graduates: English Teacher Abroad (Conversational),Education Management,Contract,"US, IA, Iowa city",Entry level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,247,53,0.2,Low,0
62,Bulk Ingredient Unloader,Food Production,Full-time,"US, IA, Cedar Rapids",Entry level,High School or equivalent,1,0,1,1,1,0,0,0,0,0,1577,958,13.4,Low,0
63,English Teacher Abroad,Education Management,Contract,"US, CA, Sacramento",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
64,Customer Services Associate - Mail and Document Preparation,Hospital & Health Care,Full-time,"US, CT, Windsor",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1286,684,0.1,Low,0
65,SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,,,"US, ,",,,0,0,0,1,0,0,0,0,0,0,1710,0,3.0,Low,0
66,Digital Developer,Computer Software,Full-time,"NZ, N, Auckland",,Unspecified,1,1,1,1,1,0,1,0,0,0,219,1070,0.1,Low,0
67,AS3 / Flash Developer,,,"GR, I, Athens",,,1,0,1,1,1,0,0,0,0,0,236,554,0.4,Low,0
68,Production Supervisor,,Full-time,"US, PA, Philadelphia",,,1,0,0,0,0,0,0,0,0,0,728,228,0.3,Low,0
69,New Product Development Project Leader,,Full-time,"US, OH, Cincinnati",,,1,0,0,0,0,0,0,0,0,0,2600,228,3.3,Low,0
70,Ruby Automation Engineer & Ruby on Rails Engineer - 2 roles,,Contract,"US, CA, Menlo Park, CA",,,0,0,0,1,0,0,0,0,0,0,251,0,0.5,Low,0
71,Tasting Adventures Presenter,,,"GB, LND, London",,,1,0,1,1,1,0,0,0,0,0,513,228,0.9,Low,0
72,Branch Associate,Banking,Full-time,"US, NY, Otisville",Associate,High School or equivalent,1,0,1,1,1,0,0,0,0,0,620,651,2.6,Low,0
73,Customer Service Associate - Part Time,Financial Services,Part-time,"US, FL, Plantation",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1221,684,0.2,Low,0
74,Specialist Obs/Gyn,"Health, Wellness and Fitness",Full-time,"AE, DU, Dubai",,,0,0,0,1,1,0,0,0,0,0,240,0,56.6,Medium,0
75,Call Attendant - Part Time,Insurance,Part-time,"US, NH, Dover",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1090,684,0.6,Low,0
76,Senior Full-Stack Engineer - Ruby on Rails (Technical Lead),E-Learning,Full-time,"DE, BE, Berlin",Mid-Senior level,Master's Degree,1,0,1,1,1,0,2,0,0,0,1863,651,0.1,Low,0
77,Medical Coder,Hospital & Health Care,Full-time,"US, TX, Fort Worth",Associate,High School or equivalent,1,1,1,1,1,0,0,0,0,0,1916,1628,0.6,Low,0
78,Mid-Senior .NET or Xamarin Developer,Computer Software,Full-time,"US, GA, Atlanta",Mid-Senior level,Bachelor's Degree,0,1,0,1,1,0,1,0,0,0,2010,0,9.3,Low,0
79,200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS,Banking,Full-time,"US, PA, Scranton",Mid-Senior level,,1,0,0,0,0,1,0,0,0,0,6068,335,1.8,Low,0
80,Product Manager,Information Technology and Services,Full-time,"NZ, N, Wel",,Bachelor's Degree,1,1,1,1,1,0,1,0,0,0,1097,615,0.3,Low,0
81,English Teacher Abroad,Education Management,Contract,"US, CA, Anaheim",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
82,Customer Service Technical Specialist,Financial Services,Full-time,"US, CA, San Francisco",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,1905,684,0.4,Low,0
83,Edinburgh Fragrance and Beauty Promotional Staff,Cosmetics,Temporary,"GB, , Edinburgh",Associate,Unspecified,1,0,1,1,1,0,1,0,0,0,855,827,0.1,Low,0
84,Mail Processing Associate - General Clerk 1,Consumer Services,Full-time,"US, KY, London",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1195,684,0.1,Low,0
85,Customer Service Associate,Facilities Services,Part-time,"US, NC, Charlotte",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1189,684,0.1,Low,0
86,Research Associate,Financial Services,Full-time,"US, CA, Newport Beach",Associate,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,1810,1113,2.5,Low,0
87,Customer Service Team Lead,Hospital & Health Care,Full-time,"US, MN, Minneapolis",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,1440,684,0.2,Low,0
88,Customer Service Associate - On Call,Insurance,Full-time,"US, TN, Franklin",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1456,684,0.1,Low,0
89,Sales and Partnerships Intern,,,"GR, I, Athens",,,1,0,1,0,0,0,1,0,0,0,2524,1820,0.1,Low,0
90,English Teacher Abroad,Education Management,Contract,"CA, ON,  Ottawa",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
91,Marketing Manager,Marketing and Advertising,Full-time,"US, NY, New York",Associate,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,1538,410,0.3,Low,0
92,Recruitment Consultant,Staffing and Recruiting,Full-time,"GB, ,",,,1,1,1,1,1,0,0,0,0,0,428,1467,0.5,Low,0
93,WAH Customer Service Repersentative,Consumer Services,Full-time,"US, SC, Columbia",Entry level,High School or equivalent,0,1,0,0,0,1,0,0,0,0,2028,0,47.4,Medium,0
94,Administrative Assistant,Financial Services,Full-time,"US, CA, San Francisco",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,891,684,0.3,Low,0
95,WF17 9LU Customer Service Apprenticeship under NAS 16-18 year olds only!,,Full-time,"GB, , Birstall",Not Applicable,High School or equivalent,1,0,1,1,1,0,0,0,0,0,724,827,0.3,Low,0
96,Senior Marketing Manager,Internet,Full-time,"US, ,",Director,Master's Degree,1,0,1,1,1,0,1,0,0,0,1414,536,0.3,Low,0
97,Software Test Engineer [QA]: Cucumber / LAMP / Automation / Jenkins  / Web Testing / Financial Startup,Financial Services,Full-time,"GB, , London",Mid-Senior level,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,490,827,0.1,Low,0
98,Customer Service Associate,Consumer Services,Full-time,"US, PA, Pittsburgh",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,997,684,0.1,Low,0
99,IC&E Technician,Oil & Energy,Full-time,"US, , Stocton, CA",Mid-Senior level,High School or equivalent,1,1,1,1,1,0,0,0,0,0,2245,935,97.4,High,1
100,English Teacher Abroad,Education Management,Contract,"US, NY, New York",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
101,CAD Operator,,,"US, NC, Raleigh",,,0,0,1,1,0,0,0,0,0,1,688,0,4.2,Low,0
102,English Teacher Abroad,Education Management,Contract,"CA, MB, Winnipeg",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
103,Marketing Administrator,Internet,Full-time,"GB, WAR, Coventry",Entry level,Bachelor's Degree,1,1,1,1,1,1,0,0,0,0,510,55,3.4,Low,0
104,Customer Service Associate - Part Time,Financial Services,Full-time,"US, NY, New York",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1219,684,0.2,Low,0
105,Shipping Clerk,,,"US, PA, Reading",,,0,0,0,0,0,0,1,0,0,0,392,0,15.8,Low,0
106,Manager of Support Services,Internet,Full-time,"US, FL, Jacksonville",Mid-Senior level,Bachelor's Degree,1,0,1,0,0,1,1,0,0,0,4687,966,5.3,Low,0
107,Gatwick Customer Service Apprenticeship 16-18 Year Olds Only,,Full-time,"GB, , Gatwick",Internship,High School or equivalent,1,0,1,1,1,0,0,0,0,0,602,827,0.2,Low,0
108,Senior Developer at a Startup Investment Studio,Venture Capital & Private Equity,Full-time,"GB, LND, London",Not Applicable,Unspecified,1,1,1,1,0,0,1,0,0,0,1692,673,0.1,Low,0
109,Software Project Manager,Computer Software,Full-time,"US, NC, Charlotte",Mid-Senior level,,0,0,0,0,0,0,1,0,0,0,2465,0,0.8,Low,0
110,Director of Client Engagement,Management Consulting,Full-time,"US, TX, Dallas",Director,Bachelor's Degree,1,0,1,1,0,0,0,0,0,0,3217,684,2.6,Low,0
111,Customer Services Associate - Data Entry,Hospital & Health Care,Full-time,"US, CT, Windsor",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1257,684,0.3,Low,0
112,Customer Service Associate - Part Time,Hospital & Health Care,Part-time,"US, IN, Indianapolis",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,1243,684,0.2,Low,0
113,Customer Service Associate - Part Time,Insurance,Part-time,"US, OR, Portland",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1278,684,0.2,Low,0
114,Operations Manager,"Leisure, Travel & Tourism",Full-time,"GB, WLV, Kingswinford",Mid-Senior level,,1,1,1,1,1,0,0,0,0,0,980,626,0.8,Low,0
115,Regional Sales Director - West,,,"US, CA, Los Angeles",,,1,0,1,1,1,1,1,0,0,0,555,2270,0.1,Low,0
116,Birmingham Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,Human Resources,,"GB, BIR, Birmingham",Not Applicable,High School or equivalent,1,0,1,1,1,0,0,0,0,0,578,827,0.1,Low,0
117,Executive Assistant,Internet,Full-time,"US, CA, San Francisco",Entry level,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,1750,1208,0.1,Low,0
118,Materials Manager,,,"US, IL, Melrose Park",,,1,0,1,1,1,0,0,0,0,0,395,672,2.9,Low,0
119,"Member of Technical Staff, Backend",Computer Software,Full-time,"US, NY, New York",Director,,1,0,1,1,1,0,0,0,0,0,668,1316,0.0,Low,0
120,English Teacher Abroad,Education Management,Contract,"US, MA, Amherst",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
121,Executive Administrative Assistant,Consumer Services,Full-time,"US, CT, Stamford",Associate,High School or equivalent,1,0,1,1,0,0,0,0,0,0,2138,684,0.1,Low,0
122,Smart-Meter Expert,,Full-time,"DE, BY, Wiepoldsried",,,1,0,1,1,1,0,0,0,0,0,754,134,1.2,Low,0
123,English Teacher Abroad,Education Management,Contract,"CA, ON, Brampton",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
124,English Teacher Abroad,Education Management,Contract,"US, CO, Fort Collins",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
125,Customer Service Associate - Part Time,Education Management,Part-time,"US, FL, Boca Raton",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1119,684,0.2,Low,0
126,Marketing Associate,Marketing and Advertising,Full-time,"US, NY, Brooklyn",Associate,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,634,748,0.9,Low,0
127,Game & Feature Specialist,Internet,Full-time,"GR, I, Athens",Mid-Senior level,,1,0,1,1,1,0,1,0,0,0,817,1562,0.2,Low,0
128,Pharmaceutical / Compound Sales Representative- Georgia,Pharmaceuticals,Full-time,"US, GA,",Associate,Unspecified,1,0,1,1,1,0,2,0,0,0,859,1341,0.7,Low,0
129,Precision Ag Intern Spring 2015 $2000 Per Month,Farming,Temporary,"US, IA, Harlan or Ames",Internship,Some College Coursework Completed,1,0,1,1,1,0,0,0,0,0,933,789,0.8,Low,0
130,Customer Service Associate,Telecommunications,Full-time,"US, TX, Dallas",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1992,684,2.1,Low,0
131,Customer Service Associate - Call Attendant,Insurance,Full-time,"US, NH, Bedford",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1092,684,0.7,Low,0
132,Milton Keynes Fragrance and Beauty Promotional Staff,Cosmetics,Temporary,"GB, , Milton Keynes",Associate,Unspecified,1,0,1,1,1,0,1,0,0,0,855,827,0.1,Low,0
133,Senior Java Developer,Computer Software,Full-time,"GB, MAN, Wigan",Mid-Senior level,,1,1,1,1,1,0,0,0,0,0,425,211,0.7,Low,0
134,English Teacher Abroad,Education Management,Contract,"US, NV, Reno",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
135,Senior Business Development Manager,Financial Services,Full-time,"GB, , Manchester",Mid-Senior level,Bachelor's Degree,1,1,1,1,1,0,2,0,0,0,1506,694,0.3,Low,0
136,English Teacher Abroad,Education Management,Contract,"US, NC, Fayetteville",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
137,Customer Service Associate,Telecommunications,Full-time,"US, TX, Dallas",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,911,684,0.5,Low,0
138,Head of Marketing (option CMO),,,"DE, , Berlin",,,1,0,1,0,0,0,0,0,0,0,355,380,0.5,Low,0
139,Customer Service Technical Specialist- Reprographics Specialist,Financial Services,Full-time,"US, NY, New York",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,1900,684,0.4,Low,0
140,Customer Service Associate,Facilities Services,Full-time,"US, NY, New York",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1219,684,0.2,Low,0
141,English Teacher Abroad,Education Management,Contract,"US, PA, Philadelphia",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
142,Customer Service Associate,Legal Services,Full-time,"US, CA, Palo Alto",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1267,684,0.2,Low,0
143,BI Developer,,,"IL, TA, Tel Aviv",,,1,0,1,1,0,0,0,0,0,0,806,333,1.8,Low,0
144,English Teacher Abroad (Conversational),Education Management,Contract,"US, TX, Hidalgo",Entry level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,458,53,1.5,Low,0
145,Forward Cap.,,,,,,0,0,0,0,0,0,0,0,0,0,337,0,86.0,High,1
146,.NET Web Developer,Computer Software,Full-time,"GR, I, Athens",Associate,Unspecified,0,1,1,1,1,0,1,0,0,0,1260,0,4.4,Low,0
147,Customer Service Associate,Telecommunications,Full-time,"US, TX, Dallas",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,911,684,0.5,Low,0
148,CNC Programmer,,Full-time,"US, PA, Philadelphia",,,1,0,0,0,0,0,0,0,0,0,871,228,0.3,Low,0
149,UI/UX developer at StartTech Ventures,Computer Software,Full-time,"GR, I, Athens",Associate,Bachelor's Degree,1,0,1,1,1,0,1,0,0,0,835,860,0.2,Low,0
150,Account Executive - Philadelphia,Computer Software,Full-time,"US, PA, Philadelphia",Mid-Senior level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,2600,614,1.9,Low,0
151,Web Developer,Marketing and Advertising,Full-time,"US, AZ, Phoenix",Associate,Unspecified,1,0,1,1,1,0,1,0,0,0,976,520,0.0,Low,0
152,English Teacher Abroad,Education Management,Contract,"US, MO, St. Louis",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
153,Digital Sales Manager - High End Decor,Luxury Goods & Jewelry,Full-time,"US, NY, New York",Mid-Senior level,Bachelor's Degree,1,1,1,1,1,0,1,0,0,0,3368,727,1.3,Low,0
154,Senior Project Manager,Internet,Full-time,"GB, , London",Mid-Senior level,Bachelor's Degree,1,1,1,1,1,0,2,0,0,0,1306,506,0.1,Low,0
155,Production Operator $16.50/hr,Machinery,Contract,"US, MA, Haverhill",,High School or equivalent,0,1,0,1,0,0,0,0,0,0,1231,0,57.3,Medium,0
156,Customer Service Professional - Property Management Industry Exp.,Real Estate,Full-time,"US, NJ, Piscataway",Associate,High School or equivalent,0,1,0,1,1,0,1,0,0,0,2540,0,32.7,Medium,0
157,Choose Your Own Adventure,,,"US, VA, Richmond",,,1,0,1,0,0,0,0,0,0,0,48,377,2.3,Low,0
158,English Teacher Abroad,Education Management,Contract,"US, AL, Jacksonville",,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,380,53,0.3,Low,0
159,Customer Support Professional,,Contract,"US, ,",,,0,0,0,1,1,1,0,0,0,0,402,0,5.1,Low,0
160,General Laborers,,,"US, CT, Hartford",,,1,1,1,1,0,0,0,0,0,0,846,257,5.2,Low,0
161,Field Services Supervisor,Mechanical or Industrial Engineering,Full-time,"US, WI, Western Wisconsin",Associate,High School or equivalent,1,1,0,1,1,0,0,0,0,0,1902,515,10.8,Low,0
162,VP of Engineering,,Full-time,"US, MI, Detroit",Director,Bachelor's Degree,0,0,0,1,0,0,0,0,0,0,1320,0,11.5,Low,0
163,Account Manager (Fashion),Public Relations and Communications,Full-time,"AU, NSW, Sydney",Mid-Senior level,,1,0,1,1,0,0,1,0,0,0,1284,1230,0.0,Low,0
164,Customer Service Associate - Data Entry,Consumer Services,Full-time,"US, CT, Windsor",Entry level,High School or equivalent,1,0,1,1,0,0,1,0,0,0,1257,684,0.2,Low,0
165,Marketing Executive,Telecommunications,Full-time,"EG, C, Cairo",Entry level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,165,1018,0.9,Low,0
166,Sales and Marketing Intern,Computer Software,Full-time,"GB, , London",Internship,Bachelor's Degree,1,1,1,1,1,0,2,0,0,0,2637,406,0.1,Low,0
167,Exports Area Manager,Consumer Goods,Full-time,"GR, I, Athens",Mid-Senior level,Master's Degree,0,0,0,1,0,0,0,0,0,0,615,0,0.9,Low,0
168,Entry Level Sales,Financial Services,Full-time,"US, MD, Baltimore",Entry level,High School or equivalent,0,1,0,0,1,0,0,0,0,0,2474,0,2.9,Low,0
169,Marketing Sales Assistant,Marketing and Advertising,Full-time,"GR, I, Athens",Entry level,Bachelor's Degree,1,0,1,1,1,0,0,0,0,0,1212,391,0.2,Low,0
170,Customer Service Team Lead,Financial Services,Full-time,"US, SD, Rapid City",Entry level,High School or equivalent,1,0,1,1,0,0,0,0,0,0,947,684,0.5,Low,0
171,Micro-grid Systems Engineer,,Full-time,"DE, BY, Wiepoldsried",,,1,0,1,1,1,0,0,0,0,0,636,134,0.9,Low,0
172,System Administrator,Marketing and Advertising,Full-time,"GB, CMD, London",Associate,Vocational,1,1,1,1,0,0,1,0,0,0,1298,2419,0.1,Low,0
